agri,mining,manufacturing,elecgas,water,construction,Industry,trade,transport,accomodation,ict,finance,real_estates,professional,administration,public_admin,education,health,recreation,other_service,households,extraterirritorial,total
3995.488029,40656.46113,113825.3932,19458.50117,345.5870241,12216.3025,186502.245,47542.43288,34019.70287,18605.81795,80152.09088,75172.09308,3890.616985,12191.97364,52065.87901,64486.895,5344.814374,4161.60881,163.198105,36375.49719,6105.61109,514.3456532,631290.3106
4354.838243,44858.86026,125150.7802,21405.24892,392.6045179,13922.83742,205730.3313,51732.70197,38640.80905,18824.44547,87315.53874,74798.51867,4602.526771,13642.68894,58970.06134,68643.23183,5740.085742,4488.138116,182.8354427,32814.19805,6389.474397,553.1105779,677423.5347
4111.814687,45978.82975,118051.8122,20151.47841,399.1631555,13301.29081,197882.5743,51603.24823,37685.35615,17802.48769,82149.53646,82812.21067,4078.043784,13120.26035,55192.29835,76282.72756,6001.124966,4453.379184,165.913333,38248.78973,6936.026795,561.9418268,679087.7341
4233.595949,41546.16222,109759.1215,18189.06286,350.5919563,12980.81181,182825.7503,50871.30359,34633.94392,18179.60257,77351.19686,78615.67977,4156.326201,12677.9506,56440.70566,61174.73135,5538.464401,4495.22876,166.3234918,40289.12751,6967.942596,576.43828,639194.3119
4583.172334,43879.91762,125621.1635,20622.60211,409.3743922,14631.93009,205164.9877,55766.34532,39333.6457,21415.29784,87385.14408,84574.98641,4813.113932,13531.50995,62870.46358,75349.18165,6220.850336,4797.32128,187.2481871,40666.5106,7212.559142,589.0278417,714461.3659
5268.8228,52148.74401,137766.542,23195.20187,453.2702168,16535.9787,230099.7368,62614.25138,44090.60167,23548.88444,95288.54768,100641.6774,5309.189337,16025.9068,70711.2404,82569.89178,6919.31934,5357.693251,204.0125966,51103.27916,7960.855568,689.423134,808403.3335
5112.69404,50523.51991,130896.6694,21122.20037,460.2914061,15575.0184,218577.6995,62438.53202,42843.89041,24309.14015,91008.3649,96288.16721,5020.694464,15468.86494,67965.23682,87955.14261,7339.221944,5733.443011,215.7818282,45800.55289,8867.417298,712.6208493,785657.4649
5562.744717,52324.98897,132377.7059,21458.10639,484.7592814,16460.39128,223105.9518,65293.39161,44877.7881,27713.39369,90705.63641,103540.7114,5191.311165,16231.37972,72953.06663,90476.63077,7861.18899,6250.866306,229.4239614,49950.71373,8899.881655,774.7460217,819618.8267
5605.000038,55494.78205,148473.5136,24917.64243,488.0689945,17041.67982,246415.6869,67761.27488,46814.38399,27696.89833,101097.1835,111201.3,5448.49855,16853.02342,74004.10657,93921.61949,7718.567083,5933.282762,229.4013443,55604.36089,8840.392695,734.1603519,875879.1408
6686.294292,70406.11173,174689.811,27957.10958,530.61677,19428.70776,293012.3568,78068.02516,53521.95616,32161.79562,124471.3418,136890.5451,5849.090682,19630.28002,83561.28372,99452.97697,8664.530289,6905.634223,263.9934153,68387.62268,9335.837845,841.1660568,1027704.731
6518.143256,70262.97413,176346.4608,28402.93703,562.7055407,20917.39019,296492.4677,81897.32372,53964.8984,27817.45153,123097.5585,136509.3684,6771.228758,19918.42445,87182.10373,106530.8852,8664.205687,6618.635005,270.7311924,68491.35202,10264.7515,818.652124,1041828.181
7405.119375,79751.46994,171649.7354,26715.24617,607.5490312,23635.2634,302359.2639,90984.51021,56695.85106,30184.84166,119108.5569,151657.9906,7919.475873,22429.71163,99434.05447,111887.857,9530.057619,7583.913433,325.402559,77036.60566,10996.14375,942.3089992,1106481.665
7246.807171,79450.25184,192133.3637,29985.52147,609.2295859,22635.68001,324814.0466,88748.62118,60773.22682,34182.45427,136798.0641,163314.7288,6916.533557,21687.79069,95890.24466,120489.1079,9674.798714,7339.785645,288.6562978,85773.17831,10400.95088,918.2127658,1175257.208
7393.025815,87561.40721,198133.8294,31095.17578,652.8080999,24171.77614,341614.9966,90389.30068,64399.64474,33974.92548,140174.829,157055.8576,7276.325223,23445.39423,102747.0812,128309.3316,10213.07843,7550.05998,279.2521558,76549.13161,11756.88821,990.5735772,1204119.696
7393.025815,87561.40721,198133.8294,31095.17578,652.8080999,24171.77614,341614.9966,90389.30068,64399.64474,33974.92548,140174.829,157055.8576,7276.325223,23445.39423,102747.0812,128309.3316,10213.07843,7550.05998,279.2521558,76549.13161,11756.88821,990.5735772,1204119.696
8808.911091,94878.51649,216393.1246,34171.20673,707.9663002,27102.60479,373253.4189,107768.2326,68354.73374,39653.30205,151906.1003,194254.4983,8285.410978,26438.81648,115431.1325,139188.7194,11738.04054,9106.206195,339.3439581,101648.9851,12874.61337,1156.796351,1370207.262
8099.915117,99464.13683,242855.3768,37189.95565,689.4814984,26775.62717,406974.5779,100060.1508,71782.26187,36668.3346,173093.6439,172937.3093,8207.080006,26075.12172,112829.4274,137298.8687,10931.75644,8089.360032,314.1264819,80983.14541,12038.32768,1033.929315,1367417.337
9128.311551,105572.5259,252895.5615,39977.13144,732.0812905,28318.43932,427495.7395,109069.5724,75325.17453,38655.15661,182086.8372,192645.0461,8309.563492,28477.22409,121003.44,145378.4465,12093.89513,9242.134694,337.9282251,96304.68182,12523.02355,1196.211964,1469272.387
10718.72707,107393.4451,261999.5521,36493.01823,778.6834228,30573.24064,437237.9395,125164.3488,81714.52276,40983.63849,185362.4103,226164.7277,9665.625679,31471.73125,134608.9549,157428.0859,13016.01385,10026.83023,405.5155915,118565.1967,14225.27646,1261.155169,1598020.7
11677.72885,108501.0259,256554.434,35882.75866,798.1110578,31975.69616,433712.0258,146263.6057,89853.85525,43016.30965,180492.7781,331206.0295,8973.148222,30134.34176,135390.6441,159134.2489,13354.14639,10239.39911,378.2090054,208937.484,14004.43295,1316.816512,1818085.204
9574.944711,114660.3533,272931.5994,39904.02926,778.5698251,30531.47985,458806.0316,112789.3463,82039.18047,44794.44495,194921.7791,200279.5789,9025.484754,30108.8837,132388.8187,151161.7038,12269.97039,9195.273168,348.1813226,97552.39352,14067.18598,1195.127618,1560518.329
10899.23865,118984.6111,292346.4982,44050.89159,848.8773859,34054.91145,490285.7897,128032.907,89196.19206,46928.8436,206452.6359,219142.1925,10699.89375,32682.54158,148015.5222,159845.2537,13283.28547,10214.46227,422.2661747,109063.7742,14643.36839,1270.776781,1691078.944
9858.749123,117532.4446,279624.5476,42681.38024,865.1600687,31969.95404,472673.4865,120609.023,85889.1533,46539.42027,198081.2911,209712.8157,9380.794684,30774.62085,137514.9793,168437.3736,13531.99032,10086.36379,370.9782836,101979.7229,15800.77696,1297.121369,1632538.661
10190.13197,121021.3685,274676.571,39743.95803,869.7009689,32561.9451,468873.5436,122714.4288,85772.6093,47330.63462,195646.4941,215692.09,9553.768316,31575.91708,139909.8745,169370.0965,13780.08554,10361.75593,389.3954786,104215.8115,15851.17797,1318.347541,1642546.163
